Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2390:  ""Remove this reference to SuperFieldRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xS Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 262;startOffset: 33;endOffset: 50;endLine: 262,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to SuperMethodRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xT Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 263;startOffset: 33;endOffset: 51;endLine: 263,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to SuperMethodRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xU Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 264;startOffset: 33;endOffset: 51;endLine: 264,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to SuperMethodRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xV Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 265;startOffset: 33;endOffset: 51;endLine: 265,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to ThisInitMethodRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xW Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 266;startOffset: 33;endOffset: 54;endLine: 266,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to SuperInitMethodRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xX Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 267;startOffset: 33;endOffset: 55;endLine: 267,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NewInitMethodRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xY Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 268;startOffset: 33;endOffset: 53;endLine: 268,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NarrowClassRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xZ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 269;startOffset: 33;endOffset: 51;endLine: 269,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NarrowClassRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xc Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 272;startOffset: 33;endOffset: 51;endLine: 272,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to IntRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xd Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 273;startOffset: 33;endOffset: 43;endLine: 273,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to FloatRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xe Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 274;startOffset: 33;endOffset: 45;endLine: 274,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to DoubleForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55xf Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 275;startOffset: 33;endOffset: 43;endLine: 275,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to BHSDCodec.""",CRITICAL,20min,Key: AYfl9rkrd9SEFTPV55-q Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Codec.java - startLine: 36;startOffset: 45;endOffset: 54;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to BHSDCodec.""",CRITICAL,20min,Key: AYfl9rkrd9SEFTPV55-r Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Codec.java - startLine: 41;startOffset: 48;endOffset: 57;endLine: 41,Maintenance (Code Smells)
